Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16
1,11,1,10,0,2352,5234,232,182,258,4101,1761,2,60,7,69
1,11,1,3,0,3416,6167,356,298,641,4530,2388,19,77,23,119
1,11,7,11,0,2149,4120,197,156,219,3302,1640,0,48,7,55
1,11,7,3,1,53456,93790,1576,995,1469,32646,14912,20,697,70,787
1,11,6,11,0,2168,3891,211,168,202,2873,1539,0,53,17,70
1,11,6,3,0,3102,5939,360,288,512,3537,1780,7,84,28,119
1,11,5,10,1,39344,103050,588,460,695,39304,11392,7,146,9,162
4,11,5,3,1,100768,220447,2101,1735,2331,59658,18880,17,449,84,550
2,11,4,11,0,9056,16362,1006,847,1153,9562,5180,3,226,44,273
1,11,4,2,1,11444,46054,555,418,717,13737,4320,14,172,47,233
4,11,3,11,0,13544,30235,517,458,667,26622,11760,2,99,13,114
1,11,3,2,1,37376,68610,1150,808,1341,22100,10880,20,411,74,505
1,11,3,2,0,1228,2392,17,17,19,2392,1228,0,0,0,0
1,11,1,10,0,22984,59040,438,374,542,12716,4968,4,85,8,97
1,11,1,3,0,1445,2774,217,167,211,1924,1005,0,56,8,64
1,11,7,12,0,3754,8533,658,640,2085,6838,3224,2,29,7,38
2,11,7,3,0,8728,17827,2295,2235,2828,15418,7344,2,86,13,101
1,11,6,10,0,5990,11123,657,361,512,5057,2628,18,370,53,441
1,11,6,3,0,4582,9193,454,306,431,3691,1722,5,190,57,252
1,11,5,10,1,2938,5799,321,243,379,3668,1848,2,101,19,122
2,11,5,2,0,6692,13092,199,108,141,7549,3336,2,99,16,117
1,11,4,9,1,2566,5244,384,280,469,3834,1806,10,140,8,158
3,11,4,3,0,21176,54779,330,228,329,13858,5248,2,130,31,163
1,11,3,10,0,4012,7955,550,319,477,4625,2218,3,270,38,311
1,11,3,3,0,1531,2838,212,189,1359,1210,690,3,30,6,39
1,11,2,11,1,2938,6056,374,283,483,4509,2078,2,107,17,126
1,11,2,3,0,24720,37240,845,564,850,14475,8120,13,331,77,421
1,11,1,9,0,2219,4545,287,220,329,3189,1495,0,78,13,91
1,11,1,3,0,4732,9303,607,352,518,6201,3136,9,301,32,342
1,11,7,9,0,2225,4239,310,216,289,2570,1389,2,111,16,129
1,11,7,4,0,2626,4943,316,213,299,3047,1605,2,124,22,148
1,10,6,10,0,3090,5744,391,257,360,3521,1796,5,153,27,185
1,10,6,3,0,1101,2548,324,287,2418,1284,704,3,51,11,65
1,10,5,11,0,2819,5230,318,218,303,3128,1622,1,115,26,142
2,10,5,3,1,12468,24917,2143,1966,2576,15850,7636,7,310,61,378
1,10,4,10,0,12776,21893,785,539,881,13272,7800,12,328,90,430
1,10,4,9,1,1357,2453,37,37,55,2154,1120,0,0,0,0
1,10,4,3,0,68896,104952,2624,1326,1952,35707,19840,26,1505,95,1626
1,10,3,10,0,1711,3174,288,245,339,2226,1118,2,63,14,79
1,10,3,4,0,1388,2544,224,219,931,2161,1214,0,13,4,17
1,10,2,11,1,2645,5472,357,315,482,4485,2101,4,59,9,72
1,10,2,4,0,70144,111745,3216,2628,4782,43671,20608,42,955,139,1136
1,10,1,11,0,3674,7221,452,330,487,3832,1890,9,181,32,222
2,10,1,4,0,9504,19556,1132,1032,1512,16018,7616,17,193,28,238
1,10,7,9,0,2426,4469,320,237,325,3120,1684,7,125,16,148
2,10,7,3,0,13872,27468,2664,2570,3395,20198,10432,4,217,50,271
1,10,6,10,0,1673,3655,338,324,1619,2598,1469,2,28,4,34
1,10,6,8,0,1261,2158,37,37,49,1911,1077,0,,,0
1,10,6,4,0,2428,4510,311,238,323,2888,1560,4,117,18,139
1,10,1,3,1,2227,4070,369,314,430,3227,1702,2,79,16,97
1,10,7,13,0,1592,2749,370,356,414,2551,1454,0,15,2,17
1,10,7,12,1,813,1568,323,319,387,1402,695,0,4,2,6
1,10,7,12,0,32208,57472,1810,1490,2286,56149,31648,1,431,26,458
1,10,7,11,0,729,1374,303,298,331,1284,650,0,7,0,7
1,10,7,10,0,834,1570,399,392,510,1390,704,0,7,2,9
1,10,7,10,0,786,1573,263,257,318,1401,660,0,6,2,8
1,10,7,9,0,584,1029,273,271,308,943,511,0,2,,2
2,10,7,9,0,15816,30514,2733,2654,3289,23584,11912,6,186,40,232
1,10,7,8,0,619,1096,257,254,292,951,516,1,1,2,4
1,10,7,7,0,617,1071,229,223,265,935,521,1,3,2,6
1,10,7,6,0,677,1285,251,246,297,1210,615,0,7,,7
1,10,7,5,0,677,1240,236,228,264,1098,580,0,7,2,9
1,10,7,3,0,3366,6647,474,345,495,3180,1674,3,198,41,242
1,10,6,13,0,747,1443,226,220,287,1252,632,0,9,1,10
1,10,6,13,0,645,1117,195,192,224,989,554,0,4,1,5
1,10,6,12,0,754,1510,206,205,252,1430,690,0,3,0,3
1,10,6,11,0,910,1673,207,201,247,1503,782,0,8,2,10
1,10,6,9,0,3906,8239,868,863,2632,7736,3768,0,7,3,10
1,10,6,9,0,659,1158,199,194,239,1041,576,1,7,2,10
1,10,6,8,0,652,1331,214,206,249,1249,588,0,11,1,12
1,10,6,6,0,861,1565,214,192,239,1351,717,2,28,4,34
1,10,6,2,0,3690,7659,424,388,644,6951,3290,0,56,12,68
3,10,5,10,0,4664,9463,204,182,251,7196,3324,0,32,16,48
1,10,5,8,0,1080,2427,210,189,249,2195,934,4,32,3,39
2,10,5,3,0,8896,17202,1480,1426,1932,13838,7020,0,129,25,154
1,10,4,10,1,4018,8617,428,374,616,6677,2992,4,77,19,100
3,10,4,3,0,68992,229733,1032,975,1345,17842,8032,15,143,44,202
2,10,3,10,0,13152,25666,2543,2438,3179,20547,10280,2,227,36,265
2,10,3,2,1,31136,59964,6164,5934,9237,35977,18048,60,859,90,1009
1,10,2,10,1,16776,39549,714,440,720,11860,6200,10,377,60,447
1,10,2,3,1,50736,140432,1462,1450,8308,46252,15552,3,41,9,53
1,10,1,10,1,5324,11040,528,483,861,8627,4054,6,76,14,96
1,10,1,3,0,18120,44940,421,282,463,4401,2616,0,189,15,204
1,10,7,10,0,2291,3960,303,243,325,3020,1723,0,80,14,94
2,10,7,4,0,10744,20691,1967,1877,2201,17502,8964,3,148,28,179
3,10,6,11,1,3616,6887,111,90,118,4263,2138,0,24,11,35
1,10,6,4,0,39984,112830,2105,1921,3932,70249,21328,24,302,41,367
1,10,5,11,0,4010,7444,477,370,534,4406,2362,2,166,32,200
1,10,5,4,1,6564,12097,806,602,957,7682,4024,47,358,49,454
1,10,4,10,0,8612,20151,813,727,1390,16890,7208,7,161,25,193
1,10,4,1,0,5568,10282,746,545,867,5696,3162,13,319,55,387
1,9,3,7,0,1685,2999,322,295,424,1794,953,0,54,16,70
1,9,2,11,0,3756,7094,469,408,613,4935,2556,16,117,30,163
1,9,2,2,0,2656,4862,390,309,445,3273,1722,1,115,21,137
1,9,1,10,0,5086,9493,622,509,757,6200,3298,30,187,35,252
1,9,1,3,1,2055,3915,346,288,412,2970,1507,1,84,13,98
1,9,7,9,0,9384,14948,757,452,652,11148,7020,6,363,40,409
1,9,7,3,0,3992,7255,598,447,688,4428,2420,6,244,32,282
1,9,6,10,0,7512,13633,769,614,951,5503,3260,22,290,98,410
2,9,6,4,0,11096,21080,1843,1724,2106,16095,8120,4,243,41,288
1,9,5,10,0,1060,2004,266,251,337,1705,870,0,18,,18
1,9,5,3,1,2790,4879,435,360,513,3501,1999,0,113,19,132
1,9,4,10,1,13856,37716,519,450,672,26832,9064,2,77,5,84
1,9,4,2,1,10748,19724,892,498,719,13674,7624,8,485,64,557
1,9,3,10,0,41984,68290,3370,2420,4074,34802,20928,144,1622,208,1974
1,9,3,2,1,2522,4583,455,390,547,3031,1674,6,99,16,121
1,9,2,9,0,4480,8039,572,430,599,5014,2704,3,188,26,217
1,9,2,2,0,1543,2874,360,334,463,2373,1228,2,30,6,38
2,9,1,10,0,21256,41906,4840,4754,5906,35455,17592,38,163,27,228
1,9,1,4,0,4484,7829,545,424,629,4208,2412,6,179,40,225
1,9,7,3,0,4398,8105,584,446,669,4799,2616,5,204,34,243
2,9,6,10,1,13216,24738,2675,2584,2969,19599,10232,2,165,22,189
1,9,6,3,1,22304,37159,1805,984,1618,22864,13304,29,1047,98,1174
1,9,5,11,0,6208,10830,644,473,678,6866,4016,2,234,40,276
1,9,5,2,0,4518,8533,626,482,729,4215,2254,7,250,42,299
1,9,4,10,0,3582,6518,537,430,597,3857,2124,4,154,36,194
2,9,4,4,1,9124,17776,1476,1397,1797,13887,7092,20,150,29,199
1,9,3,10,0,14152,38806,631,549,836,19409,6632,4,102,8,114
1,9,3,2,1,4260,7989,588,435,622,4578,2432,1,226,44,271
4,9,2,10,0,30624,56950,2080,1956,3253,32033,15744,6,345,121,472
1,9,2,3,0,2363,4223,393,348,476,3332,1788,11,68,11,90
1,9,1,10,0,2232,4005,374,335,458,3247,1740,0,62,10,72
1,9,1,6,0,4048,7217,544,405,602,4046,2280,5,223,35,263
1,9,7,10,0,1804,2968,330,280,352,2293,1354,0,61,6,67
1,9,7,4,1,2351,4028,371,298,392,3112,1791,1,104,12,117
1,9,2,10,0,3100,5388,518,422,609,3927,2274,3,146,15,164
1,9,2,3,1,2360,4004,436,365,486,2757,1603,2,102,15,119
1,8,1,10,0,19648,33643,1359,695,990,24034,13528,9,766,43,818
1,8,1,4,0,2295,3721,377,324,402,3121,1882,0,63,7,70
1,8,7,10,1,3934,6330,512,437,599,5010,3082,3,113,17,133
1,8,7,3,0,34512,76659,1666,1333,1977,54860,22816,6,442,42,490
1,8,6,10,0,5282,8730,703,530,772,5123,3244,9,278,43,330
1,8,6,8,0,1809,3130,399,359,494,2541,1435,2,64,7,73
1,8,5,13,0,1920,3124,365,331,428,2541,1519,1,52,7,60
1,8,4,9,1,1954,3530,356,333,443,3295,1772,0,30,2,32
1,8,4,10,0,33536,64850,1954,1016,1678,50076,24448,33,1155,102,1290
1,8,4,3,1,4204,7191,498,408,596,5161,2974,2,139,25,166
1,8,3,9,0,3376,6557,428,409,631,5700,2806,0,40,5,45
2,8,3,2,1,9236,16054,1151,1130,1560,14014,7880,2,53,15,70
1,8,2,10,0,72864,205934,946,759,1158,122474,30912,4,220,19,243
1,8,2,3,0,3358,5682,394,323,523,4200,2426,2,114,16,132
1,8,1,12,1,3254,5644,371,344,513,5069,2846,0,39,3,42
1,8,1,3,0,50640,121234,2240,1577,2779,92348,34880,4,859,68,931
1,8,7,10,0,3734,6218,529,434,794,4831,2868,5,137,20,162
1,8,7,3,0,2594,4220,347,315,529,3418,2067,1,54,11,66
1,8,6,10,1,2232,3772,376,322,440,2205,1306,2,74,22,98
1,8,6,3,1,22120,54734,979,906,1751,46700,17528,6,98,3,107
1,8,5,10,0,7980,12978,630,398,521,9342,5372,2,264,21,287
1,8,5,1,0,1659,2845,345,321,424,1604,915,3,36,11,50
1,8,4,11,1,1006,1594,277,268,354,1055,651,1,11,3,15
1,8,4,3,1,12728,21685,844,461,683,15779,8844,4,435,31,470
1,8,3,10,0,28880,64746,1062,991,1971,40181,15808,2,114,10,126
1,8,3,4,0,1330,2327,363,351,433,1475,827,2,17,9,28
2,8,2,12,0,14424,26000,304,286,383,25539,14056,41,15,1,57
1,8,2,7,0,14200,26728,1393,1354,3214,25610,13376,3,87,10,100
1,8,1,12,0,5746,9874,769,632,1063,7407,4288,16,227,28,271
1,8,1,4,0,2540,4372,389,330,458,3655,2063,2,86,8,96
1,8,7,10,0,4324,7241,548,431,676,4972,3008,6,179,27,212
2,8,7,4,0,8260,14305,997,953,1211,12905,7360,1,74,11,86
2,8,6,10,1,20168,35904,3370,3244,5106,26881,15056,18,332,54,404
1,8,6,6,0,5046,9084,528,477,906,7723,4184,2,80,21,103
2,7,5,14,0,15296,25269,2827,2781,3627,22103,13296,9,95,17,121
1,7,5,8,1,3414,6369,473,342,525,4518,2390,3,188,26,217
1,7,4,10,1,95424,252207,699,575,882,78287,22016,6,109,11,126
1,7,4,3,0,14824,21863,868,591,966,13498,8560,64,367,25,456
1,7,3,13,0,3504,5699,444,374,497,4487,2730,9,102,19,130
1,7,2,23,0,2822,5058,424,351,486,3681,2020,2,113,20,135
1,7,2,13,0,2973,5063,356,297,415,3764,2208,0,94,20,114
2,7,2,6,1,10824,20573,135,126,153,20030,10384,6,14,1,21
1,7,1,11,0,4592,6691,320,289,423,3238,2100,1,43,10,54
1,7,1,5,0,3176,5278,372,319,577,3993,2426,1,98,21,120
2,7,7,10,0,10956,19279,128,119,130,18838,10564,3,13,1,17
1,7,7,4,0,10888,19744,913,783,1370,14425,8048,12,237,45,294
1,7,6,10,0,3594,6316,424,354,530,4319,2468,4,112,23,139
1,7,6,2,0,3384,6166,451,395,561,4708,2508,2,101,25,128
1,7,5,11,1,4096,7200,487,406,723,4911,2826,10,145,31,186
1,7,5,3,0,19968,35161,1016,592,909,26701,14792,6,535,83,624
1,7,4,11,0,4892,8499,536,460,721,7389,4206,4,118,22,144
2,7,4,6,0,17360,33613,2573,2448,6017,23338,11800,9,484,79,572
4,7,3,11,1,21872,40413,3872,3822,7327,24667,12920,18,315,76,409
1,7,3,5,1,180480,319133,8072,4010,6242,108752,51456,372,5172,790,6334
1,7,2,13,0,44464,66824,1052,930,1571,22904,14080,4,154,30,188
1,7,2,8,0,2881,5188,550,503,730,3840,2040,0,73,15,88
1,7,1,12,0,3460,6503,541,482,667,4371,2260,0,96,19,115
1,7,1,6,0,3406,5656,571,512,731,4446,2598,1,98,19,118
1,7,7,11,1,2602,4349,479,444,588,3342,1946,1,53,14,68
1,7,7,6,1,5848,9068,622,570,795,6651,4212,4,71,10,85
1,7,6,11,0,26944,43464,877,740,1097,20270,10208,6,194,34,234
1,7,6,5,0,5292,9321,756,646,1033,5867,3404,6,226,42,274
2,7,5,12,1,15576,27513,2417,2327,3098,19078,10840,11,238,51,300
1,7,5,3,0,54256,82011,1620,963,1419,42128,24224,10,755,58,823
1,7,4,12,1,3726,6372,602,574,785,4760,2852,30,47,8,85
1,7,4,6,1,31904,50539,863,770,1106,24010,12992,2,126,32,160
1,7,3,13,1,40336,65309,1407,1330,2251,27771,14848,4,104,10,118
1,7,3,1,0,4220,7774,685,597,838,4404,2326,10,167,26,203
1,7,2,13,0,4666,8360,729,648,1014,5010,2818,9,152,41,202
1,7,2,7,1,4274,7948,701,638,1020,5936,3164,0,128,15,143
1,7,1,13,0,28208,41650,964,827,1237,18035,11120,13,234,43,290
1,7,1,3,0,3330,5461,513,478,652,3675,2196,2,61,16,79
1,7,7,11,1,3528,5918,550,513,787,4606,2660,0,66,9,75
1,7,7,3,0,38576,55398,1355,890,1328,17365,12624,7,529,60,596
1,7,6,13,1,2628,4264,528,503,652,3086,1846,3,42,10,55
1,7,6,3,0,7232,12735,758,700,1236,8855,4712,2,75,24,101
2,7,5,10,0,10188,16978,1473,1441,2136,14450,8536,13,61,13,87
1,7,5,3,0,6408,11881,909,861,14974,7243,4040,26,162,7,195
1,7,4,9,1,3414,6050,515,493,710,5005,2704,2,47,4,53
1,7,4,5,1,53056,65260,2003,1412,2089,23679,17104,6,696,28,730
1,7,3,10,1,66976,111502,1191,1054,1641,40203,19968,7,215,47,269
1,7,3,3,1,76096,94644,2889,2495,4596,31096,19744,22,534,31,587
1,7,4,12,0,5458,9098,1007,933,1181,5307,3204,1,143,27,171
1,7,4,3,0,3706,6194,895,884,1173,4700,2726,18,46,7,71
2,7,3,13,0,18320,31448,3742,3682,7854,25584,14920,36,98,14,148
1,7,3,4,1,2316,3611,722,716,862,2545,1529,0,25,5,30
4,6,2,13,0,139008,277100,1779,1643,2356,107502,38720,23,204,44,271
1,6,2,9,1,5854,11854,1043,947,19779,5901,2894,11,202,5,218
1,6,2,3,0,109056,191324,2552,2457,4906,48765,25024,7,148,39,194
1,6,1,12,0,3212,4908,735,720,897,3399,2162,1,40,8,49
1,6,1,4,0,3046,4909,909,872,1147,3559,2126,1,71,17,89
2,6,7,11,0,12044,20327,2240,2193,3599,17717,10400,0,104,13,117
1,6,7,4,1,9652,16968,1400,1381,2801,15917,8972,1,34,4,39
1,6,6,12,0,28112,47721,1631,1537,2438,41207,23440,11,129,12,152
2,6,6,4,0,8628,14847,870,843,1692,11970,6796,4,72,18,94
1,6,5,11,1,2431,4180,389,383,7980,3963,2301,0,15,3,18
1,6,4,22,1,20560,24112,936,860,1126,5648,3856,14,102,9,125
1,6,4,12,0,20896,29062,1418,1038,2048,19738,13656,103,469,33,605
1,6,4,11,0,2402,4072,170,145,286,3147,1794,5,57,5,67
1,6,4,7,0,1729,3289,596,591,735,2888,1406,0,23,2,25
1,6,4,3,0,4320,7127,753,681,1021,4569,2782,5,141,26,172
1,6,3,11,0,2585,4410,569,560,781,3802,2144,0,19,5,24
1,6,3,3,0,3322,5969,610,569,852,4111,2236,1,71,23,95
1,6,2,13,0,3600,5807,691,656,913,3351,2110,0,72,21,93
1,6,2,2,0,11620,21564,1160,1138,2042,20024,10568,5,54,7,66
1,6,1,14,0,4248,7004,724,671,920,5063,3114,5,93,19,117
1,6,1,3,0,2763,4388,564,523,650,3519,2124,0,62,10,72
1,6,7,11,0,3558,5396,621,568,775,3708,2392,0,78,16,94
1,6,7,4,0,8324,14480,840,834,1388,13786,7736,0,14,1,15
1,6,6,9,0,6952,11469,909,779,1229,7431,4292,11,231,43,285
1,6,6,2,1,2823,4955,552,503,622,3579,1966,1,72,16,89
1,6,5,13,1,63840,102620,1382,1229,1871,32470,16480,9,197,28,234
1,6,5,3,1,11608,15323,985,705,940,8419,5840,4,330,29,363
1,6,4,12,0,58304,80871,884,715,1034,2289,1408,0,148,7,155
1,6,4,2,0,4762,8303,842,725,1014,6086,3494,2,208,28,238
1,6,3,13,0,6150,10217,750,676,969,6253,3742,12,148,28,188
1,6,3,3,1,4644,8178,768,683,1000,5651,3144,4,154,26,184
1,6,2,13,0,22464,29650,1029,934,1408,9376,6864,3,142,18,163
1,6,2,3,0,3754,6295,791,730,1072,4343,2590,8,107,20,135
1,6,1,13,0,4452,7998,666,658,948,7037,3768,0,22,3,25
1,6,1,3,0,3576,5525,664,618,870,4229,2672,2,84,13,99
1,6,7,10,0,3028,4794,579,548,740,3574,2184,2,59,12,73
1,6,7,3,1,4022,6503,647,616,995,5416,3312,3,65,14,82
1,6,6,12,1,52736,73584,1635,1622,2824,18580,10144,0,24,4,28
1,6,6,4,0,47376,70212,1557,1426,2051,22710,13344,9,186,23,218
1,6,5,12,0,3234,5113,756,724,937,3476,2174,0,58,17,75
1,6,5,3,0,3322,5553,702,656,863,3484,1968,2,74,14,90
1,6,4,13,0,6768,11525,768,672,930,7048,4012,2,180,44,226
1,6,4,5,1,11304,20647,1141,1065,1874,14792,7800,18,168,49,235
1,6,3,11,0,13544,18474,759,733,1082,7326,4120,0,36,5,41
1,6,2,13,0,3418,5659,581,546,770,4491,2620,2,51,6,59
1,6,2,5,1,3662,6476,560,522,677,4930,2660,2,67,14,83
1,6,1,10,0,56672,104966,2579,1334,1850,78678,37408,20,1372,47,1439
1,6,1,3,1,3294,5499,526,488,599,4658,2710,2,57,6,65
1,6,1,3,0,3110,5405,732,712,892,4605,2540,2,33,10,45
1,5,7,14,0,3806,6486,722,658,880,4955,2772,1,79,17,97
1,5,5,9,1,3776,6736,577,529,719,4846,2614,3,97,22,122
1,5,4,12,0,39040,55633,1684,1183,2123,32021,19712,16,617,58,691
1,5,4,4,1,4032,7278,684,607,848,4935,2644,7,139,34,180
1,5,3,12,0,21248,34095,1049,918,1438,11280,6664,20,199,32,251
1,5,3,5,0,4344,8025,692,626,872,4911,2528,1,107,26,134
1,5,2,12,0,2718,4698,566,528,663,3601,1992,0,50,10,60
1,5,2,1,0,3024,5630,596,560,721,4114,2098,0,64,20,84
2,5,1,2,0,10152,17099,1636,1599,2755,15382,8980,2,55,10,67
1,5,7,2,0,4708,8090,678,594,889,4664,2690,1,142,37,180
1,5,6,14,0,2772,4642,526,479,604,3353,1943,2,72,9,83
1,5,6,6,0,2812,4954,536,485,672,3382,1853,4,79,16,99
1,5,5,10,1,6460,11373,823,706,1197,6279,3612,25,244,44,313
1,5,4,10,0,18056,32576,1062,875,1389,26514,14728,25,307,58,390
1,5,4,4,0,5016,8745,679,569,966,5904,3322,6,212,36,254
1,5,3,11,0,3528,6181,470,415,583,4249,2352,2,95,17,114
1,5,2,11,0,6444,11509,734,625,1157,7910,4136,5,194,33,232
1,5,1,13,1,4458,7753,491,432,676,5493,3106,6,101,29,136
3,5,1,2,0,12540,19301,344,322,396,16914,11008,3,46,14,63
1,5,7,13,1,4362,7378,604,509,767,5681,3216,3,156,20,179
1,5,7,2,0,38960,65149,2298,1702,3000,57722,34368,37,821,90,948
1,5,6,13,0,3144,5067,392,356,507,3586,2148,1,58,13,72
1,5,6,8,1,4336,7705,574,484,847,5156,2752,12,155,23,190
1,5,5,13,0,81856,124753,3000,1637,2718,52477,27392,45,1639,122,1806
1,5,5,9,0,5728,10164,676,587,1049,6890,3714,3,155,32,190
1,5,4,13,1,5490,9518,647,555,847,6549,3716,4,166,33,203
2,5,4,3,1,23832,42313,1701,1570,2838,37816,21352,6,210,39,255
1,5,3,7,0,18552,25542,1005,676,1021,15973,10584,4,400,25,429
1,5,2,14,0,4132,7165,552,495,713,4908,2754,2,98,18,118
1,5,2,8,0,4910,9209,625,561,869,5768,2812,12,138,38,188
1,5,1,13,0,4202,7633,562,481,730,6173,3298,3,148,16,167
1,5,1,3,0,5976,10441,689,544,833,7055,4046,2,267,40,309
1,5,7,14,0,5206,8962,565,492,878,6461,3708,1,144,29,174
1,5,7,2,0,6984,12066,780,631,1116,8188,4776,25,256,54,335
1,5,6,9,0,6000,10300,577,539,886,7886,4454,3,72,24,99
1,5,6,3,0,3332,5797,463,406,552,4347,2330,0,87,18,105
2,5,5,7,0,9232,16811,908,861,1967,12996,7200,1,129,36,166
1,4,4,15,1,5212,9035,736,642,1005,6258,3608,1,179,30,210
1,4,3,13,0,24264,51899,1599,1485,3153,48466,21928,9,194,33,236
1,4,3,8,0,4280,7594,624,555,771,4632,2530,1,124,32,157
1,4,2,13,0,6692,11859,905,742,1165,8391,4692,4,304,47,355
1,4,2,2,1,5594,9586,739,670,1048,5732,3256,12,138,39,189
1,4,1,2,0,11336,15350,583,547,724,13876,10160,4,41,9,54
1,4,7,3,1,5582,9903,708,620,923,6315,3422,2,163,35,200
1,4,6,14,0,28352,55202,1476,1242,1990,47899,24512,45,407,76,528
2,4,6,3,1,17912,34774,2750,2567,6591,21009,11408,17,447,123,587
3,4,5,7,1,35360,45260,339,325,477,9105,5472,7,38,11,56
1,4,5,5,0,9084,15194,962,916,1897,11853,7024,2,93,26,121
1,4,4,12,1,6880,11736,671,639,889,9389,5232,0,59,16,75
1,4,4,7,1,12824,18929,830,623,864,15678,10968,0,286,30,316
1,4,3,7,0,6596,9835,564,526,678,8242,5352,0,66,13,79
1,4,2,13,1,7492,12414,838,713,1274,8452,5024,8,236,51,295
